2023-05-20	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/06/02/2023-11902.txt	$375 million
2023-05-31	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/06/08/2023-12423.txt	$300 million
2023-06-13	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/06/20/2023-13193.txt	$325 million
2023-06-27	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/07/06/2023-14435.txt	$500 million
2023-07-07	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/07/13/2023-15010.txt	$800 million	$122 million
2023-07-25	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/08/02/2023-16585.txt	$400 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19574.txt	$2.85 billion
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19575.txt	$2.5 billion
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19576.txt	$400 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19577.txt	$350 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19578.txt	$325 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19579.txt	$300 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19580.txt	$300 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19588.txt	$500 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19589.txt	$325 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19590.txt	$122 million	$800 million
2023-09-12	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/12/2023-19711.txt	$625 million
2023-09-29	Notice	https://www.federalregister.gov/documents/full_text/text/2023/09/29/2023-21423.txt	$550 million
2023-09-21	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2023/10/11/2023-22631.txt	$128 million	$128 million
2024-05-10	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/05/28/2024-11789.txt	$400 million
2024-05-24	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/06/14/2024-13298.txt	$275 million	$24 million
2024-06-07	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/07/12/2024-15477.txt	$225 million
2024-07-03	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/08/06/2024-17562.txt	$150 million	$12 million
2024-07-11	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/08/06/2024-17568.txt	$125 million
2024-07-29	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/08/06/2024-17571.txt	$200 million	$70 million
2024-08-09	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/09/04/2024-19953.txt	$125 million
2024-08-23	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/09/04/2024-19958.txt	$125 million
2024-09-06	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/09/24/2024-21942.txt	$250 million
2024-09-25	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/10/18/2024-24313.txt	$375 million	$103 million
2024-09-26	Presidential Document	https://www.federalregister.gov/documents/full_text/text/2024/10/18/2024-24318.txt	$5.55 billion
